property_name,Property_Type,society,sector,price,Price_Per_SQFT,bedRoom,bathroom,balcony,address,floorNum,agePossession,description,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2 BHK Flat in Sector 81 Gurgaon,flat,signature global city 81,sector 81,0.96,1086.0,2.0,2.0,2,"Sector 81 Gurgaon, Gurgaon, Haryana",1.0,Under Construction,"Signature global city 81 is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. Constructed on a carpet area of 1075 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 1st floor of this 4 floors tall residential building. As the property is currently under construction , you can expect to get the possession by june 2024.",1194.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
2 BHK Flat in Sohna,flat,hcbs sports ville,sector 1,0.29,621.0,2.0,2.0,1,"Sohna, Gurgaon, Haryana",4.0,Relatively New,Affordable housing in gurgaon and surrounded by green and clean air. Selling off due to relocation.,577.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0
3 BHK Flat in Sector 79 Gurgaon,flat,supertech araville,sector 79,1.35,6940.0,3.0,3.0,3,"Sector 79 Gurgaon, Gurgaon, Haryana",4.0,Relatively New,"Well spacious, nicely built with wooden flooring in master bed room. The location of the house is convenient for school goers and the connectivity is great too.",2161.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2 BHK Flat in Sector 33 Gurgaon,flat,godrej,sector 33,0.95,6859.0,2.0,2.0,3+,"Flat No. :- 301, Sector 33 Gurgaon, Gurgaon, Haryana",3.0,Under Construction,"Its an godrej project nature plus.
On 3rd floor. 1st flat
 Balcony east facing & flat is north facing.
With 4 balconies.
On sec - 33 , sohan road
Front facing flat..
If need more details you can contact me.",1253.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2 BHK Flat in Sector 90 Gurgaon,flat,shree vardhman flora,sector 90,0.7,5384.0,2.0,2.0,3,"Sector 90 Gurgaon, Gurgaon, Haryana",13.0,New Property,"This 2 bhk apartment is available for sale in shree vardhman flora, one of the most prominent projects for flats in sector 90 gurgaon. Constructed on a super built up area of 1300 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 13 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",1176.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0
4 BHK Flat in Sector 108 Gurgaon,flat,sobha city,sector 108,3.95,16859.0,4.0,5.0,3,"Sector 108, Sector 108 Gurgaon, Gurgaon, Haryana",25.0,Relatively New,This is sale property................................. Sobha city sector 108,2343.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0
1 BHK Flat in Sector 62 Gurgaon,flat,senate court,sector 62,0.9,1565.0,1.0,1.0,0,"Senate Court, Sector 62, Gurgaon, Sector 62 Gurgaon, Gurgaon, Haryana",0.0,Relatively New,"Looking for a 1 bhk apartment for sale in gurgaon? Your search ends here. Buy this 1 bhk property in gurgaons finest location, sector 62. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 7 floors. This apartment is available at a reasonable price of rs 90.0 l. The built up area of this property is 639 square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as kunskapsskolan eduventures pvt ltd, c r oasis convent senior secondry school, and pardeep mor mamoril school. Medical facility is also close at hand with names like park hospital, artemis hospital gurgaon, and w pratiksha hospital senate court senate court, sector 62, gurgaon",639.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2 BHK Flat in Sector 102 Gurgaon,flat,shapoorji pallonji joyville gurugram,sector 102,1.05,1275.0,2.0,2.0,2,"G04, Sector 102 Gurgaon, Gurgaon, Haryana",0.0,Under Construction,New upcoming available in next 6-9 months,1017.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
2 BHK Flat in Sector 93 Gurgaon,flat,signature global orchard avenue 2,sector 93,1.25,10000.0,2.0,2.0,3,"L-1104, Sector 93 Gurgaon, Gurgaon, Haryana",11.0,Under Construction,"Looking for a budget-Friendly 2 bhk flat in a prime location with modern amenities? Look no further than signature global orchard avenue 2 sector 93 in new gurgaon!Our ready-To-Move flats are the perfect choice for those looking for a comfortable and convenient living experience. Located in one of the top sectors of new gurgaon, our society is just a stone's throw away from the nearest metro station, ensuring that you can easily get around the city without any hassle.Our flats are designed to offer you the best of both worlds - Comfort and luxury. With spacious bedrooms, modern kitchens, and well-Appointed bathrooms, our flats are the perfect place to call home. You'll also have access to a range of amenities, including a gym, swimming pool, and landscaped gardens, ensuring that you can relax and unwind after a long day.So why wait? Come and visit signature global orchard avenue 2 today and experience the best in modern living. Our friendly team is always on hand to help you find your dream home, and we'll make sure that you're completely satisfied with your purchase. Contact us today to learn more!",641.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0
3 BHK Flat in Sector-33 Sohna,flat,central park flower valley,sector 33,2.2,10476.0,3.0,3.0,3,"Sector-33 Sohna, Gurgaon, Haryana",12.0,New Property,"This beautiful 3 bhk flat in sector-33 sohna, gurgaon is situated in central park flower valley, one of the popular residential society in gurgaon. The flat is over 2100 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 13 floors and this property is situated on 12th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.",1900.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0
2 BHK Flat in Sector 89 Gurgaon,flat,smart world gems,sector 89,1.01,9156.0,2.0,2.0,2,"Sector 89 Gurgaon, Gurgaon, Haryana",4.0,Under Construction,Possession soon . Luxurious flat with terrace and basement,1226.0,1.0,0.0,0.0,0.0,0.0,1.0,38.0
3 BHK Flat in Sector 79 Gurgaon,flat,bestech altura,sector 79,1.85,8604.0,3.0,4.0,3+,"Sector 79 Gurgaon, Gurgaon, Haryana",11.0,New Property,"This lovely 3 bhk apartment/flat in sector 79 gurgaon is available for sale in one of gurgaon's most popular projects, bestech altura. The flat occupies a super built up area of 2150 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the 11th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",1946.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0
2 BHK Flat in Sector 89 Gurgaon,flat,smart world gems,sector 89,0.86,7796.0,2.0,3.0,3,"Sector 89 Gurgaon, Gurgaon, Haryana",4.0,Under Construction,"We are the proud owners of this 2 bhk apartment available in smart world gems, sector 89 gurgaon, gurgaon. This it is a and the unit is located on 4th floor and has a super built-Up area of 1103 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",998.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0
3 BHK Flat in Sector 102 Gurgaon,flat,emaar imperial gardens,sector 102,1.85,9135.0,3.0,3.0,3+,"Sector 102 Gurgaon, Gurgaon, Haryana",0.0,Relatively New,"Private garden area well maintained
No hassle to wait for lift during rush hours as it's a ground floor. 
Complete sun light 
Able to do bonfire inside the house due to extended balcony area",2250.0,0.0,1.0,0.0,0.0,0.0,2.0,95.0
3 BHK Flat in Sector 113 Gurgaon,flat,la vida by tata housing,sector 113,2.85,12855.0,3.0,3.0,3+,"Sector 113 Gurgaon , Gurgaon, Haryana",10.0,New Property,"La vida by tata housing is one of the most popular destination for buying apartments/ flats in sector 113 gurgaon . You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2217 sq.Ft. This flat is situated on the 10th floor of this 25 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Proximity to landmarks like close to market, close to railway station and close to school makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, lift(s), park, visitor parking and maintenance staff. The society provides continuous water supply from municipal corporation and borewell/tank.",2006.0,0.0,1.0,0.0,0.0,0.0,1.0,72.0
2 BHK Flat in Sector 36 Gurgaon,flat,the serenas,sector 36,0.42,881.0,2.0,2.0,1,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",3.0,New Property,Best in class property available at sector 36 sohna location in gurgaon,590.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3 BHK Flat in Sector 65 Gurgaon,flat,m3m golfestate,sector 65,6.15,18331.0,3.0,4.0,2,"Sector 65, Sector 65 Gurgaon, Gurgaon, Haryana",20.0,Relatively New,One of the best units in m3m golf estate with l shaped wraparound balcony. 3side open apartment with ample sunlight. Vaastu perfect with east entry. Y m3m golf estate sector 65,3355.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0
3 BHK Flat in Sector 48 Gurgaon,flat,central park resort belgravia residences,sector 48,6.25,24300.0,3.0,5.0,3+,"Sector 48 Gurgaon, Gurgaon, Haryana",5.0,Moderately Old,"Situated in sector 48 gurgaon, central park resort belgravia residences is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is over 2880 sq.Ft. Carpet area and comes with 3 bedroom(s), 5 bathrooms and more than 3 balconies. The flat has a total of 17 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.",3200.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0
2 BHK Flat in Sector 37C Gurgaon,flat,apex builders,sector 33,0.42,622.0,2.0,2.0,2,"Sector 37C Gurgaon, Gurgaon, Haryana",4.0,Relatively New,Have car parking available and connected to newly developed dwaka expressway,833.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0
2 BHK Flat in Sector 3 Gurgaon,flat,godrej habitat,sector 3,1.35,12784.0,2.0,2.0,0,"Godrej Habitat, Sector-3, Gurgaon, Sector 3 Gurgaon, Gurgaon, Haryana",4.0,Relatively New,"Self owning property , shifting out of country , resale , no agency . Godrej habitat godrej habitat, sector-3, gurgaon",1056.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0
4 BHK Flat in Sector 43 Gurgaon,flat,bhawna cghs,sector 43,3.25,10156.0,4.0,4.0,3+,"Sector 43 Gurgaon, Gurgaon, Haryana",12.0,Moderately Old,"4 bhk + pooja room- Huge spacious rooms and hall, open kitchen, panaromic balcony with a magnificent view of the golf course road.Walking distance from one horizon center, two horizon center, baani square, galleria, vyapar kendra, ecoforest trailIn the vicinity, walking distance from the best schools in gurgaon- Heritage xperiential school, ambience public school, excelsior american schoolLocation wise you cannot find a better deal in all of gurgaon!It is a huge property, centrally located.",3115.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0
2 BHK Flat in Sector 88A Gurgaon,flat,adani aangan arcade,sector 88,0.45,800.0,2.0,2.0,1,"Tower A-4, Flat No. 804, Sector 88A Gurgaon, Gurgaon, Haryana",8.0,New Property,"This is 2bhk flat at 8th floor of tower a-4. 
5min drive from dwarka expressway. 15 min drive from nh8",695.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3 BHK Flat in Sector 92 Gurgaon,flat,sare green parc,sector 92,0.85,6538.0,3.0,2.0,2,"Sector 92, Sector 92 Gurgaon, Gurgaon, Haryana",20.0,Relatively New,Best in class property available at sector 92 location in gurgaon,1300.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0
2 BHK Flat in Sector 90 Gurgaon,flat,shree vardhman flora,sector 90,0.75,5769.0,2.0,2.0,3,"Sector 90, Sector 90 Gurgaon, Gurgaon, Haryana",8.0,Relatively New,Best in class property available at sector 90 location in gurgaon,1444.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0
2 BHK Flat in Sector 68 Gurgaon,flat,supertech hues,sector 68,0.82,6950.0,2.0,2.0,3+,"Sector-68 Gurgaon, Sector 68 Gurgaon, Gurgaon, Haryana",21.0,Under Construction,"Residential apartment for sell.The property comes with a good construction quality which ages,apr, 2019,,  located in sector-68 gurgaon.It is a unfurnished property.The property has 2 bedrooms, with 2 bathrooms .Available at an expected price of 82 lac.Located on 21st  of the 24 floors .It is a freehold property.  It is positioned in a gated society.",1068.0,0.0,0.0,0.0,0.0,1.0,1.0,83.0
3 BHK Flat in Sector 109 Gurgaon,flat,chintels paradiso,sector 109,1.8,8866.0,3.0,3.0,2,"Sector 109 Gurgaon, Gurgaon, Haryana",0.0,Moderately Old,"Greenery both sides of balconies 
One side children play area 
Other side trapezium shape green area
One can easily njoy refreshing air
East facing to have good sunshine on front side
Free parking and basketball facing the house
Excellent for sr citizen with grand children",1910.0,0.0,1.0,0.0,0.0,0.0,1.0,109.0
2 BHK Flat in Sohna,flat,breez global hill view,sector 1,0.3,601.0,2.0,2.0,2,"T 3, Sohna, Gurgaon, Haryana",6.0,New Property,"Low density project already 300 family residing in the society both side open with aravalli hill view , 24 * 7 security , gated society , shopping complex inside the society with community center , crutch, school ,hospital, petrol pump, near by the society road head society on national highway delhi mumbai expressway ,",605.0,0.0,0.0,0.0,0.0,0.0,2.0,103.0
2 BHK Flat in Sector 37C Gurgaon,flat,ild greens,sector 33,0.78,5714.0,2.0,2.0,3,"101, Tower-7, Sector 37C Gurgaon, Gurgaon, Haryana",1.0,Moderately Old,"Rooms are well ventilated and airy, good open space, good sunlight
Located in first floor and on main sector rode.",1068.1,0.0,0.0,0.0,0.0,0.0,2.0,15.0
3 BHK Flat in Sector 43 Gurgaon,flat,ansal sushant lok ci,sector 43,2.0,15151.0,3.0,3.0,2,"C 488,1 St Floor, Sector 43 Gurgaon, Gurgaon, Haryana",1.0,Old Property,"Its huge inside,the bebrooms are quote spacious with attach bathrooms and we have renovated frm inside very well.Its near to market",1467.0,0.0,1.0,0.0,0.0,0.0,2.0,67.0
2 BHK Flat in Sohna,flat,ashiana mulberry,sector 1,0.74,6200.0,2.0,2.0,3+,"Sohna, Gurgaon, Haryana",12.0,New Property,Available with fully furnished kitchen and master bedroom wooden flooring,1344.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0
3 BHK Flat in Sector 106 Gurgaon,flat,godrej meridien,sector 106,3.2,16000.0,3.0,3.0,3+,"609, Sector 106 Gurgaon, Gurgaon, Haryana",6.0,Under Construction,"It's a clubhouse facing inventory and directly from the owner, agent please excuse and the price is 16000 persqft , and the price is non negotiable",2224.0,0.0,1.0,0.0,0.0,0.0,1.0,130.0
4 BHK Flat in Sector 82 Gurgaon,flat,mapsko casa bella,sector 82,1.3,6378.0,4.0,4.0,3+,"Sector 82 Gurgaon, Gurgaon, Haryana",1.0,Relatively New,"Spacious, completely filled society, on main road, opposite to shopping mall",1774.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0
3 BHK Flat in Sohna,flat,signature global park,sector 1,0.95,7846.0,3.0,2.0,3+,"Sohna, Gurgaon, Haryana",1.0,Relatively New,"Low rise building, all amenities are available in this society like club, grocery shops ,many parks for multi purposes etc",1210.723472,0.0,0.0,0.0,0.0,0.0,1.0,97.0
4 BHK Flat in Sector 90 Gurgaon,flat,dlf new town heights,sector 90,1.99,7297.0,4.0,4.0,3+,"Sector 90 Gurgaon, Gurgaon, Haryana",9.0,Relatively New,"4 bhk flat is located in dlf new town heights 1, which houses some of the most spacious flats in sector 90 gurgaon, with 2 covered car parking. Good interiors and view of greenery. Constructed on a area of 2727 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies + servant room with attached bathroom. The residential building has 29 floors in total and the flat for sale is located on the 9th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. Many of the modern amenities being offered, like swimming pool, club, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you.",3030.0,0.0,1.0,0.0,1.0,0.0,2.0,110.0
2 BHK Flat in Sector 106 Gurgaon,flat,paras dews,sector 106,1.05,7581.0,2.0,2.0,2,"Sector 106 Gurgaon, Gurgaon, Haryana",5.0,New Property,"It's on main dwarka expressway. Very close to delhi border. Daily need shops operational within the society . Mall, school and medical facilities within 5-10 mins walking distance.",1539.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0
3 BHK Flat in Sector 85 Gurgaon,flat,godrej air,sector 85,1.83,10005.0,3.0,3.0,3+,"Sector 85 Gurgaon, Gurgaon, Haryana",18.0,Under Construction,"Godrej air is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 85 gurgaon is your opportunity to be a part of this community. The flat is over 1829 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat lies on the 18th level of a 32 storey building. As the property is currently under construction , you can expect to get the possession by march 2024.",2032.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0
3 BHK Flat in Sector 82A Gurgaon,flat,dlf the primus,sector 82,2.25,10714.0,3.0,3.0,3+,"Sector 82A Gurgaon, Gurgaon, Haryana",29.0,Relatively New,"Located in the popular residential address of sector-82a gurgaon, gurgaon, dlf the primus is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. This property faces the east direction. Containing 3 bathrooms and 4 balconies, this apartment is spread over an carpet area of 2100 sq.Ft.. The property is located on the 29th floor of a 32 floor tall building. This 1-5 year(s) old property is available for immediate possession as the project is ready to move. Moreover, this property offers close proximity to important landmarks such as close to school, close to hospital, close to market, close to railway station. Dlf the primus is designed very well to provide modern facilities such as swimming pool, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking. The residents of this project enjoy a 24*7 access to clean water.",2333.0,0.0,1.0,0.0,0.0,0.0,2.0,52.0
3 BHK Flat in Sector 65 Gurgaon,flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,3.0,3.0,3+,"Tower 5, Sector 65 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,"Emaar mgf emerald floors premier is one of the most popular destination for buying apartments/ flats in sector 65 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. Containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a carpet area of 1650 sq.Ft. The residential building has 5 floors in total and the flat for sale is located on the 3rd floor. This 1-5 years old property is available for immediate possession as the project is ready to move. Emaar mgf emerald floors premier is designed very well to provide modern facilities such as swimming pool, shopping centre, club house / community center, fitness centre / gym, park and lift(s).",1650.0,1.0,1.0,0.0,0.0,0.0,2.0,49.0
2 BHK Flat in DLF Phase 4,flat,dlf regency park,sector 24,1.6,14545.0,2.0,2.0,2,"DLF Phase 4, Gurgaon, Haryana",3.0,Relatively New,"Spacious room, well maintained facilities",1222.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
2 BHK Flat in Sector 79 Gurgaon,flat,supertech araville,sector 79,0.83,5424.0,2.0,2.0,3,"Sector 79 Gurgaon, Gurgaon, Haryana",5.0,New Property,2bhk and study all fully furnished flat available for sale immediately possession,1700.0,1.0,0.0,0.0,0.0,0.0,2.0,46.0
3 BHK Flat in Sohna,flat,signature global park,sector 1,0.83,7410.0,3.0,2.0,2,"A253, Sohna, Gurgaon, Haryana",1.0,New Property,Flat on sohna road .... Luxury appartments ... Main delhi mumbai expressway,1244.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0
2 BHK Flat in Sector 10A Gurgaon,flat,maxworth city residences,sector 10,0.8,6400.0,2.0,3.0,2,"Sector 10A Gurgaon, Gurgaon, Haryana",9.0,New Property,"Property in eminent location and loaded with all amenities.
Near to hospital, school and atm.
Only 2 km from highway.",1389.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0
4 BHK Flat in Sector 1A IMT Manesar,flat,deepak minda,sector 1,1.25,4715.0,4.0,4.0,3+,"Sector 1A IMT Manesar, Gurgaon, Haryana",6.0,Moderately Old,"Near by hospital,market,school highway",2946.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0
1 BHK Flat in Sector 84 Gurgaon,flat,pivotal devaan,sector 84,0.3,741.0,1.0,1.0,1,"Sector 84 Gurgaon, Gurgaon, Haryana",14.0,New Property,Located in the premium sector 84 this property is best in gurgaon.,500.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0
3 BHK Flat in Sector 33 Gurgaon,flat,unitech the residences,sector 33,1.55,9872.0,3.0,4.0,1,"101, Sector 33 Gurgaon, Gurgaon, Haryana",1.0,Relatively New,"Central garden full view.
Good ventilation.
Morning sunlight till afternoon in master bedroom and attached room.
First floor, makes both stairs and lift use easier.
Lively atmosphere and safe for kids.
24*7 power backup.
Location close to gurgaon highway.
Power backup",1421.0,0.0,1.0,0.0,0.0,0.0,2.0,37.0
2 BHK Flat in Sector 71 Gurgaon,flat,chd avenue,sector 71,0.79,6594.0,2.0,2.0,2,"Sector 71 Gurgaon, Gurgaon, Haryana",8.0,Relatively New,"We are the proud owners of this 2 bhk apartment available in chd avenue 71, sector-71, gurgaon. This semi-Furnished apartment is a 1-5 year old, priced approximately at rs. 6594 per sq. Ft. Or rs. 79 lakhs. It is a resale and a ready to move in apartment. The unit is located on the 8th floor and has a super built-Up area of 1198. 0 sq. Ft. It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type. The apartment has 1 open parking.
 Additional details :The society has dedicated security guards for every tower.
Full power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
The apartment has borings water supply.
Piped gas facility is available in the property.",1084.0,0.0,0.0,0.0,0.0,1.0,2.0,97.0
2 BHK Flat in Sohna,flat,silverglades the melia,sector 1,1.01,7000.0,2.0,2.0,3,"H1202, Sohna, Gurgaon, Haryana",12.0,Under Construction,"The property will be ready early 2024 and ready for negotiations if a buyer is ready before january, 2024",1184.0,1.0,0.0,0.0,0.0,0.0,2.0,62.0
4 BHK Flat in Sector 92 Gurgaon,flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.0,4.0,5.0,3+,"Sector 92 Gurgaon, Gurgaon, Haryana",4.0,Moderately Old,Attached bath spacious rooms. Big drawing dining. Facing main road.,1717.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0
2 BHK Flat in Sector 77 Gurgaon,flat,umang winter hills,sector 77,0.99,7857.0,2.0,2.0,2,"Sector 77 Gurgaon, Gurgaon, Haryana",1.0,Relatively New,"Situated in sector-77 gurgaon, umang winter hills is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is over 1260 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. This flat lies on the 1st level of a 18 storey building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.",1126.0,0.0,0.0,0.0,0.0,0.0,2.0,55.0
